system,item,run,score
strong-2,task_009,1,0.5093
strong-2,task_009,2,0.467
strong-2,task_009,3,0.618
strong-3,task_009,1,0.665
strong-3,task_009,2,0.5247
strong-3,task_009,3,0.5547
good-1,task_009,1,0.4436
good-1,task_009,2,0.566
good-1,task_009,3,0.5173
good-2,task_009,1,0.6829
good-2,task_009,2,0.387
good-2,task_009,3,0.5474
good-3,task_009,1,0.5564
good-3,task_009,2,0.4679
good-3,task_009,3,0.5717
fair-1,task_009,1,0.2593
fair-1,task_009,2,0.6506
fair-1,task_009,3,0.2699
fair-2,task_009,1,0.5187
fair-2,task_009,2,0.2942
fair-2,task_009,3,0.5441
fair-3,task_009,1,0.3752
fair-3,task_009,2,0.435
fair-3,task_009,3,0.4234
weak-1,task_009,1,0.3586
weak-1,task_009,2,0.2022
weak-1,task_009,3,0.0
weak-2,task_009,1,0.1539
weak-2,task_009,2,0.2577
weak-2,task_009,3,0.1891
weak-3,task_009,1,0.3222
weak-3,task_009,2,0.3492
weak-3,task_009,3,0.2213
strong-1,task_010,1,0.5164
strong-1,task_010,2,0.8325
strong-1,task_010,3,0.7994
strong-2,task_010,1,0.6474
strong-2,task_010,2,0.9122
strong-2,task_010,3,0.6419
strong-3,task_010,1,0.5552
strong-3,task_010,2,0.6631
strong-3,task_010,3,0.7988
good-1,task_010,1,0.5072
good-1,task_010,2,0.8249
good-1,task_010,3,0.5117
good-2,task_010,1,0.7153
good-2,task_010,2,0.6702
good-2,task_010,3,0.5933
good-3,task_010,1,0.7291
good-3,task_010,2,0.4453
good-3,task_010,3,0.7596
fair-1,task_010,1,0.5133
fair-1,task_010,2,0.4606
fair-1,task_010,3,0.6027
fair-2,task_010,1,0.6369
fair-2,task_010,2,0.605
fair-2,task_010,3,0.7402
fair-3,task_010,1,0.6392
fair-3,task_010,2,0.6615
fair-3,task_010,3,0.4609
weak-1,task_010,1,0.352
weak-1,task_010,2,0.4022
weak-1,task_010,3,0.3383
weak-2,task_010,1,0.3735
weak-2,task_010,2,0.3871
weak-2,task_010,3,0.4331
weak-3,task_010,1,0.3291
weak-3,task_010,2,0.3018
weak-3,task_010,3,0.2492
strong-1,task_011,1,0.6885
strong-1,task_011,2,0.9156
strong-1,task_011,3,0.7773
strong-2,task_011,1,0.8732
strong-2,task_011,2,0.6439
strong-2,task_011,3,0.5734
strong-3,task_011,1,0.6712
strong-3,task_011,2,0.9127
strong-3,task_011,3,0.9041
good-1,task_011,1,0.7531
good-1,task_011,2,0.6284
good-1,task_011,3,0.7022
good-2,task_011,1,0.6839
good-2,task_011,2,0.6787
good-2,task_011,3,0.4409
good-3,task_011,1,0.6222
good-3,task_011,2,0.6957
good-3,task_011,3,0.8834
fair-1,task_011,1,0.6443
fair-1,task_011,2,0.7807
fair-1,task_011,3,0.5833
fair-2,task_011,1,0.5988
fair-2,task_011,2,0.1977
fair-2,task_011,3,0.6776
fair-3,task_011,1,0.6868
fair-3,task_011,2,0.8206
fair-3,task_011,3,0.5731
weak-1,task_011,1,0.457
weak-1,task_011,2,0.369
weak-1,task_011,3,0.3172
weak-2,task_011,1,0.3682
weak-2,task_011,2,0.4087
weak-2,task_011,3,0.5957
weak-3,task_011,1,0.4469
weak-3,task_011,2,0.3597
weak-3,task_011,3,0.4622
strong-1,task_012,1,0.4319
strong-1,task_012,2,0.3336
strong-1,task_012,3,0.5338
strong-2,task_012,1,0.2003
strong-2,task_012,2,0.3845
strong-2,task_012,3,0.4812
strong-3,task_012,1,0.2608
strong-3,task_012,2,0.4477
strong-3,task_012,3,0.5502
good-1,task_012,1,0.3879
good-1,task_012,2,0.1521
good-1,task_012,3,0.2579
good-2,task_012,1,0.4735
good-2,task_012,2,0.3708
good-2,task_012,3,0.3369
good-3,task_012,1,0.3865
good-3,task_012,2,0.4173
good-3,task_012,3,0.2601
fair-1,task_012,1,0.2161
fair-1,task_012,2,0.2637
fair-1,task_012,3,0.1882
fair-2,task_012,1,0.2333
fair-2,task_012,2,0.3908
fair-2,task_012,3,0.1415
fair-3,task_012,1,0.4599
fair-3,task_012,2,0.4547
fair-3,task_012,3,0.0595
weak-1,task_012,1,0.0525
weak-1,task_012,2,0.1057
weak-1,task_012,3,0.0
weak-2,task_012,1,0.0
weak-2,task_012,2,0.0419
weak-2,task_012,3,0.1493
weak-3,task_012,1,0.0117
weak-3,task_012,2,0.2689
weak-3,task_012,3,0.0999
strong-1,task_013,1,0.7337
strong-1,task_013,2,0.9044
strong-1,task_013,3,0.8139
strong-2,task_013,1,0.7856
strong-2,task_013,2,0.7086
strong-2,task_013,3,0.9445
strong-3,task_013,1,0.8343
strong-3,task_013,2,0.7226
strong-3,task_013,3,0.5715
good-1,task_013,1,0.716
good-1,task_013,2,0.5492
good-1,task_013,3,0.4862
good-2,task_013,1,0.6443
good-2,task_013,2,0.706
good-2,task_013,3,0.8161
good-3,task_013,1,0.7061
good-3,task_013,2,0.7637
good-3,task_013,3,0.5401
fair-1,task_013,1,0.5825
fair-1,task_013,2,0.5987
fair-1,task_013,3,0.6798
fair-2,task_013,1,0.5978
fair-2,task_013,2,0.6734
fair-2,task_013,3,0.5295
fair-3,task_013,1,0.6244
fair-3,task_013,2,0.6306
fair-3,task_013,3,0.4475
weak-1,task_013,1,0.4243
weak-1,task_013,2,0.3698
weak-1,task_013,3,0.1955
weak-2,task_013,1,0.5104
weak-2,task_013,2,0.3652
weak-2,task_013,3,0.3112
weak-3,task_013,1,0.3635
weak-3,task_013,2,0.4202
weak-3,task_013,3,0.5709
strong-1,task_014,1,0.5624
strong-1,task_014,2,0.6326
strong-1,task_014,3,0.7317
strong-2,task_014,1,0.6393
strong-2,task_014,2,0.6982
strong-2,task_014,3,0.5282
strong-3,task_014,1,0.6655
strong-3,task_014,2,0.5743
strong-3,task_014,3,0.6988
good-1,task_014,1,0.4003
good-1,task_014,2,0.4249
good-1,task_014,3,0.6502
good-2,task_014,1,0.4891
good-2,task_014,2,0.4712
good-2,task_014,3,0.5192
good-3,task_014,1,0.4348
good-3,task_014,2,0.6572
good-3,task_014,3,0.3732
fair-1,task_014,1,0.4041
fair-1,task_014,2,0.4588
fair-1,task_014,3,0.4092
fair-2,task_014,1,0.3324
fair-2,task_014,2,0.3251
fair-2,task_014,3,0.4674
fair-3,task_014,1,0.3073
fair-3,task_014,2,0.4917
fair-3,task_014,3,0.253
weak-1,task_014,1,0.1796
weak-1,task_014,2,0.2446
weak-1,task_014,3,0.1029
weak-2,task_014,1,0.3124
weak-2,task_014,2,0.2386
weak-2,task_014,3,0.1267
weak-3,task_014,1,0.0736
weak-3,task_014,2,0.0684
weak-3,task_014,3,0.2463
strong-1,task_015,1,0.5356
strong-1,task_015,2,0.5127
strong-1,task_015,3,0.6374
strong-2,task_015,1,0.9134
strong-2,task_015,2,0.6934
strong-2,task_015,3,0.7468
strong-3,task_015,1,0.6862
strong-3,task_015,2,0.749
strong-3,task_015,3,0.5151
good-1,task_015,1,0.5455
good-1,task_015,2,0.6216
good-1,task_015,3,0.5909
good-2,task_015,1,0.5717
good-2,task_015,2,0.5196
good-2,task_015,3,0.5644
good-3,task_015,1,0.5077
good-3,task_015,2,0.3264
good-3,task_015,3,0.4614
fair-1,task_015,1,0.5552
fair-1,task_015,2,0.6741
fair-1,task_015,3,0.7023
fair-2,task_015,1,0.5135
fair-2,task_015,2,0.6011
fair-2,task_015,3,0.6027
fair-3,task_015,1,0.4267
fair-3,task_015,2,0.3161
fair-3,task_015,3,0.5062
weak-1,task_015,1,0.129
weak-1,task_015,2,0.2876
weak-1,task_015,3,0.3897
weak-2,task_015,1,0.1666
weak-2,task_015,2,0.3264
weak-2,task_015,3,0.4592
weak-3,task_015,1,0.3626
weak-3,task_015,2,0.3803
weak-3,task_015,3,0.4226
strong-1,task_016,1,0.8835
strong-1,task_016,2,0.7096
strong-1,task_016,3,0.8282
strong-2,task_016,1,0.6859
strong-2,task_016,2,0.6328
strong-2,task_016,3,0.7275
strong-3,task_016,1,0.6263
strong-3,task_016,2,0.6299
strong-3,task_016,3,0.6261
good-1,task_016,1,0.3704
good-1,task_016,2,0.6345
good-1,task_016,3,0.4839
good-2,task_016,1,0.6111
good-2,task_016,2,0.7824
good-2,task_016,3,0.5656
good-3,task_016,1,0.5633
good-3,task_016,2,0.7729
good-3,task_016,3,0.683
fair-1,task_016,1,0.6403
fair-1,task_016,2,0.4938
fair-1,task_016,3,0.6152
fair-2,task_016,1,0.4574
fair-2,task_016,2,0.4586
fair-2,task_016,3,0.5985
fair-3,task_016,1,0.4671
fair-3,task_016,2,0.6173
fair-3,task_016,3,0.796
weak-1,task_016,1,0.1674
weak-1,task_016,2,0.2702
weak-1,task_016,3,0.4761
weak-2,task_016,1,0.337
weak-2,task_016,2,0.4806
weak-2,task_016,3,0.2418
weak-3,task_016,1,0.3894
weak-3,task_016,2,0.3364
weak-3,task_016,3,0.3684
strong-1,task_017,1,0.7658
strong-1,task_017,2,0.5952
strong-1,task_017,3,0.6112
strong-2,task_017,1,0.8833
strong-2,task_017,2,0.7616
strong-2,task_017,3,0.7411
strong-3,task_017,1,0.7245
strong-3,task_017,2,0.7686
strong-3,task_017,3,0.6022
good-1,task_017,1,0.5495
good-1,task_017,2,0.8029
good-1,task_017,3,0.676
good-2,task_017,1,0.7529
good-2,task_017,2,0.5928
good-2,task_017,3,0.8108
good-3,task_017,1,0.6974
good-3,task_017,2,0.7123
good-3,task_017,3,0.7198
fair-1,task_017,1,0.4817
fair-1,task_017,2,0.3642
fair-1,task_017,3,0.4512
fair-2,task_017,1,0.7487
fair-2,task_017,2,0.7125
fair-2,task_017,3,0.5312
fair-3,task_017,1,0.5362
fair-3,task_017,2,0.6834
fair-3,task_017,3,0.5509
weak-1,task_017,1,0.2465
weak-1,task_017,2,0.5286
weak-1,task_017,3,0.4419
weak-2,task_017,1,0.1126
weak-2,task_017,2,0.3549
weak-2,task_017,3,0.4052
weak-3,task_017,1,0.4423
weak-3,task_017,2,0.4061
weak-3,task_017,3,0.3195
strong-1,task_018,1,0.8331
strong-1,task_018,2,0.8783
strong-1,task_018,3,0.8164
strong-2,task_018,1,0.805
strong-2,task_018,2,0.9836
strong-2,task_018,3,0.7417
strong-3,task_018,1,0.8074
strong-3,task_018,2,0.6224
strong-3,task_018,3,0.9054
good-1,task_018,1,0.867
good-1,task_018,2,0.8362
good-1,task_018,3,0.8768
good-2,task_018,1,0.8243
good-2,task_018,2,0.8135
good-2,task_018,3,0.828
good-3,task_018,1,0.7465
good-3,task_018,2,0.9066
good-3,task_018,3,0.7375
fair-1,task_018,1,0.525
fair-1,task_018,2,0.7793
fair-1,task_018,3,0.8894
fair-2,task_018,1,0.5802
fair-2,task_018,2,0.6747
fair-2,task_018,3,0.6105
fair-3,task_018,1,0.644
fair-3,task_018,2,0.6909
fair-3,task_018,3,0.5493
weak-1,task_018,1,0.4753
weak-1,task_018,2,0.3446
weak-1,task_018,3,0.4434
weak-2,task_018,1,0.3754
weak-2,task_018,2,0.3894
weak-2,task_018,3,0.3167
weak-3,task_018,1,0.64
weak-3,task_018,2,0.5619
weak-3,task_018,3,0.2949
strong-1,task_019,1,0.8812
strong-1,task_019,2,0.8731
strong-1,task_019,3,0.8708
strong-2,task_019,1,0.7876
strong-2,task_019,2,1.0
strong-2,task_019,3,0.9033
strong-3,task_019,1,0.9983
strong-3,task_019,2,1.0
strong-3,task_019,3,1.0
good-1,task_019,1,0.6772
good-1,task_019,2,1.0
good-1,task_019,3,1.0
good-2,task_019,1,0.9398
good-2,task_019,2,1.0
good-2,task_019,3,0.8993
good-3,task_019,1,0.9672
good-3,task_019,2,0.7956
good-3,task_019,3,1.0
fair-1,task_019,1,0.8053
fair-1,task_019,2,0.7372
fair-1,task_019,3,1.0
fair-2,task_019,1,0.7533
fair-2,task_019,2,0.7878
fair-2,task_019,3,0.7651
fair-3,task_019,1,0.7037
fair-3,task_019,2,0.8452
fair-3,task_019,3,0.868
weak-1,task_019,1,0.6458
weak-1,task_019,2,0.3471
weak-1,task_019,3,0.7177
weak-2,task_019,1,0.5683
weak-2,task_019,2,0.473
weak-2,task_019,3,0.6732
weak-3,task_019,1,0.6687
weak-3,task_019,2,0.4921
weak-3,task_019,3,0.8788
strong-1,task_020,1,0.6264
strong-1,task_020,2,0.5688
strong-1,task_020,3,0.6325
strong-2,task_020,1,0.9157
strong-2,task_020,2,0.7401
strong-2,task_020,3,0.7185
strong-3,task_020,1,0.7526
strong-3,task_020,2,0.6938
strong-3,task_020,3,0.6835
good-1,task_020,1,0.6189
good-1,task_020,2,0.7673
good-1,task_020,3,0.8017
good-2,task_020,1,0.5734
good-2,task_020,2,0.7157
good-2,task_020,3,0.7761
good-3,task_020,1,0.5704
good-3,task_020,2,0.6342
good-3,task_020,3,0.5752
fair-1,task_020,1,0.4574
fair-1,task_020,2,0.6106
fair-1,task_020,3,0.5185
fair-2,task_020,1,0.6689
fair-2,task_020,2,0.5962
fair-2,task_020,3,0.6448
fair-3,task_020,1,0.5673
fair-3,task_020,2,0.5296
fair-3,task_020,3,0.5895
weak-1,task_020,1,0.4189
weak-1,task_020,2,0.3418
weak-1,task_020,3,0.4664
weak-2,task_020,1,0.5016
weak-2,task_020,2,0.4368
weak-2,task_020,3,0.6079
weak-3,task_020,1,0.3499
weak-3,task_020,2,0.4767
weak-3,task_020,3,0.3745
strong-1,task_021,1,1.0
strong-1,task_021,2,0.9073
strong-1,task_021,3,1.0
strong-2,task_021,1,1.0
strong-2,task_021,2,1.0
strong-2,task_021,3,0.8594
strong-3,task_021,1,0.9443
strong-3,task_021,2,0.9005
strong-3,task_021,3,0.9401
good-1,task_021,1,0.8524
good-1,task_021,2,0.9154
good-1,task_021,3,0.9267
good-2,task_021,1,0.9241
good-2,task_021,2,0.8675
good-2,task_021,3,0.9493
good-3,task_021,1,1.0
good-3,task_021,2,0.8294
good-3,task_021,3,0.9287
fair-1,task_021,1,0.8305
fair-1,task_021,2,0.8902
fair-1,task_021,3,0.8316
fair-2,task_021,1,0.8369
fair-2,task_021,2,0.7296
fair-2,task_021,3,0.841
fair-3,task_021,1,0.7372
fair-3,task_021,2,0.8954
fair-3,task_021,3,0.8273
weak-1,task_021,1,0.663
weak-1,task_021,2,0.5606
weak-1,task_021,3,0.747
weak-2,task_021,1,0.7348
weak-2,task_021,2,0.7534
weak-2,task_021,3,0.9036
weak-3,task_021,1,0.6529
weak-3,task_021,2,0.791
weak-3,task_021,3,0.645
strong-1,task_022,1,0.7169
strong-1,task_022,2,0.7138
strong-1,task_022,3,0.7027
strong-2,task_022,1,0.746
strong-2,task_022,2,0.6401
strong-2,task_022,3,0.6781
strong-3,task_022,1,0.7325
strong-3,task_022,2,0.8658
strong-3,task_022,3,0.5809
good-1,task_022,1,0.4049
good-1,task_022,2,0.5503
good-1,task_022,3,0.6135
good-2,task_022,1,0.6228
good-2,task_022,2,0.6137
good-2,task_022,3,0.7337
good-3,task_022,1,0.7109
good-3,task_022,2,0.5981
good-3,task_022,3,0.5519
fair-1,task_022,1,0.4755
fair-1,task_022,2,0.4744
fair-1,task_022,3,0.4888
fair-2,task_022,1,0.3406
fair-2,task_022,2,0.4629
fair-2,task_022,3,0.4668
fair-3,task_022,1,0.4928
fair-3,task_022,2,0.4856
fair-3,task_022,3,0.5875
weak-1,task_022,1,0.2751
weak-1,task_022,2,0.2853
weak-1,task_022,3,0.3932
weak-2,task_022,1,0.3077
weak-2,task_022,2,0.3574
weak-2,task_022,3,0.4072
weak-3,task_022,1,0.38
weak-3,task_022,2,0.3611
weak-3,task_022,3,0.312
strong-1,task_023,1,0.9112
strong-1,task_023,2,0.8556
strong-1,task_023,3,0.7807
strong-2,task_023,1,0.8197
strong-2,task_023,2,0.7022
strong-2,task_023,3,0.7305
strong-3,task_023,1,0.6291
strong-3,task_023,2,0.7614
strong-3,task_023,3,0.9832
good-1,task_023,1,0.705
good-1,task_023,2,0.8529
good-1,task_023,3,0.7659
good-2,task_023,1,0.6892
good-2,task_023,2,0.9135
good-2,task_023,3,0.8303
good-3,task_023,1,0.5735
good-3,task_023,2,0.8808
good-3,task_023,3,0.648
fair-1,task_023,1,0.6567
fair-1,task_023,2,0.7497
fair-1,task_023,3,0.6433
fair-2,task_023,1,0.7993
fair-2,task_023,2,0.76
fair-2,task_023,3,0.5028
fair-3,task_023,1,0.6243
fair-3,task_023,2,0.7073
fair-3,task_023,3,0.613
weak-1,task_023,1,0.4725
weak-1,task_023,2,0.5842
weak-1,task_023,3,0.5311
weak-2,task_023,1,0.395
weak-2,task_023,2,0.5154
weak-2,task_023,3,0.4289
weak-3,task_023,1,0.3626
weak-3,task_023,2,0.3719
weak-3,task_023,3,0.5278
strong-1,task_024,1,0.9215
strong-1,task_024,2,0.9252
strong-1,task_024,3,0.7985
strong-2,task_024,1,0.9043
strong-2,task_024,2,0.8105
strong-2,task_024,3,0.8227
strong-3,task_024,1,0.9064
strong-3,task_024,2,0.7724
strong-3,task_024,3,0.9982
good-1,task_024,1,1.0
good-1,task_024,2,0.905
good-1,task_024,3,0.7398
good-2,task_024,1,0.8247
good-2,task_024,2,0.6835
good-2,task_024,3,0.813
good-3,task_024,1,0.9104
good-3,task_024,2,0.9194
good-3,task_024,3,0.7411
fair-1,task_024,1,0.7975
fair-1,task_024,2,0.8918
fair-1,task_024,3,0.9576
fair-2,task_024,1,0.6875
fair-2,task_024,2,0.6695
fair-2,task_024,3,0.7705
fair-3,task_024,1,0.4425
fair-3,task_024,2,0.7061
fair-3,task_024,3,0.7347
weak-1,task_024,1,0.534
weak-1,task_024,2,0.4103
weak-1,task_024,3,0.5575
