system,item,run,score
meta-llama/llama-3.3-70b-instruct,gsm0013,a1_g1,1.0
openai/gpt-4o-mini,gsm0015,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0015,a1_g1,1.0
openai/gpt-4o-mini,gsm0016,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0013,a1_g1,1.0
openai/gpt-4.1-nano,gsm0016,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0015,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0015,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0016,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0016,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0017,a1_g1,1.0
openai/gpt-4.1-nano,gsm0017,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0016,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0017,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0016,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0017,a1_g1,1.0
openai/gpt-4.1-nano,gsm0018,a1_g1,1.0
openai/gpt-4o-mini,gsm0017,a1_g1,1.0
openai/gpt-4o-mini,gsm0018,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0017,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0018,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0015,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0018,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0018,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0012,a1_g1,0.0
openai/gpt-4.1-nano,gsm0019,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0018,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0019,a1_g1,1.0
openai/gpt-4o-mini,gsm0019,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0019,a1_g1,1.0
openai/gpt-4o-mini,gsm0020,a1_g1,1.0
openai/gpt-4.1-nano,gsm0020,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0020,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0019,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0019,a1_g1,0.0
meta-llama/llama-3.1-8b-instruct,gsm0020,a1_g1,1.0
openai/gpt-4.1-nano,gsm0021,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0021,a1_g1,1.0
openai/gpt-4o-mini,gsm0021,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0021,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0021,a1_g1,0.0
mistralai/ministral-8b-2512,gsm0020,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0021,a1_g1,0.0
openai/gpt-4.1-nano,gsm0022,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0022,a1_g1,1.0
openai/gpt-4o-mini,gsm0022,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0022,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0022,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0022,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0023,a1_g1,1.0
openai/gpt-4o-mini,gsm0023,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0023,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0023,a1_g1,1.0
openai/gpt-4.1-nano,gsm0023,a1_g1,1.0
openai/gpt-4o-mini,gsm0024,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0020,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0024,a1_g1,1.0
openai/gpt-4.1-nano,gsm0024,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0023,a1_g1,0.0
mistralai/ministral-8b-2512,gsm0024,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0024,a1_g1,1.0
openai/gpt-4.1-nano,gsm0025,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0025,a1_g1,1.0
openai/gpt-4o-mini,gsm0025,a1_g1,1.0
openai/gpt-4.1-nano,gsm0026,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0024,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0026,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0025,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0025,a1_g1,1.0
openai/gpt-4o-mini,gsm0026,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0026,a1_g1,1.0
openai/gpt-4.1-nano,gsm0027,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0027,a1_g1,0.0
meta-llama/llama-3.3-70b-instruct,gsm0026,a1_g1,1.0
openai/gpt-4o-mini,gsm0027,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0027,a1_g1,0.0
openai/gpt-4.1-nano,gsm0028,a1_g1,1.0
openai/gpt-4o-mini,gsm0028,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0028,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0027,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0028,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0028,a1_g1,1.0
openai/gpt-4.1-nano,gsm0029,a1_g1,1.0
openai/gpt-4o-mini,gsm0029,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0029,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0026,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0029,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0030,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0028,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0027,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0029,a1_g1,0.0
openai/gpt-4o-mini,gsm0030,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0030,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0029,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0031,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0025,a1_g1,1.0
openai/gpt-4.1-nano,gsm0030,a1_g1,1.0
openai/gpt-4.1-nano,gsm0031,a1_g1,1.0
openai/gpt-4o-mini,gsm0031,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0030,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0031,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0030,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0032,a1_g1,1.0
openai/gpt-4.1-nano,gsm0032,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0031,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0032,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0031,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0032,a1_g1,1.0
openai/gpt-4o-mini,gsm0032,a1_g1,1.0
openai/gpt-4.1-nano,gsm0033,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0033,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0032,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0033,a1_g1,1.0
openai/gpt-4o-mini,gsm0033,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0033,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0033,a1_g1,1.0
openai/gpt-4.1-nano,gsm0034,a1_g1,1.0
openai/gpt-4o-mini,gsm0034,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0034,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0034,a1_g1,1.0
openai/gpt-4.1-nano,gsm0035,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0035,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0035,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0035,a1_g1,1.0
openai/gpt-4o-mini,gsm0035,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0034,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0034,a1_g1,1.0
openai/gpt-4o-mini,gsm0036,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0036,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0035,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0036,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0036,a1_g1,0.0
openai/gpt-4o-mini,gsm0037,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0037,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0037,a1_g1,0.0
openai/gpt-4.1-nano,gsm0036,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0036,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0037,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0037,a1_g1,0.0
openai/gpt-4.1-nano,gsm0038,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0038,a1_g1,1.0
openai/gpt-4.1-nano,gsm0037,a1_g1,0.0
mistralai/ministral-8b-2512,gsm0038,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0038,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0038,a1_g1,1.0
openai/gpt-4o-mini,gsm0038,a1_g1,1.0
openai/gpt-4.1-nano,gsm0039,a1_g1,1.0
openai/gpt-4o-mini,gsm0039,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0039,a1_g1,0.0
openai/gpt-4o-mini,gsm0040,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0039,a1_g1,1.0
openai/gpt-4.1-nano,gsm0040,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0039,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0040,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0040,a1_g1,1.0
openai/gpt-4.1-nano,gsm0041,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0039,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0040,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0041,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0040,a1_g1,1.0
openai/gpt-4o-mini,gsm0041,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0041,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0041,a1_g1,1.0
openai/gpt-4.1-nano,gsm0042,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0042,a1_g1,1.0
openai/gpt-4o-mini,gsm0042,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0042,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0041,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0042,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0042,a1_g1,1.0
openai/gpt-4.1-nano,gsm0043,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0043,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0043,a1_g1,1.0
openai/gpt-4o-mini,gsm0043,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0043,a1_g1,1.0
openai/gpt-4.1-nano,gsm0044,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0043,a1_g1,1.0
openai/gpt-4o-mini,gsm0044,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0044,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0044,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0044,a1_g1,1.0
openai/gpt-4.1-nano,gsm0045,a1_g1,1.0
openai/gpt-4o-mini,gsm0045,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0045,a1_g1,1.0
openai/gpt-4.1-nano,gsm0046,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0045,a1_g1,1.0
openai/gpt-4o-mini,gsm0046,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0046,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0046,a1_g1,0.0
meta-llama/llama-3.1-8b-instruct,gsm0045,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0044,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0046,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0045,a1_g1,1.0
openai/gpt-4.1-nano,gsm0047,a1_g1,1.0
openai/gpt-4o-mini,gsm0047,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0047,a1_g1,1.0
openai/gpt-4o-mini,gsm0048,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0046,a1_g1,1.0
openai/gpt-4.1-nano,gsm0048,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0047,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0048,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0048,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0048,a1_g1,1.0
openai/gpt-4.1-nano,gsm0049,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0048,a1_g1,1.0
openai/gpt-4o-mini,gsm0049,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0047,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0049,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0049,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0049,a1_g1,1.0
openai/gpt-4.1-nano,gsm0050,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0047,a1_g1,1.0
openai/gpt-4o-mini,gsm0050,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0050,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0050,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0051,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0050,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0049,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0051,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0051,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0052,a1_g1,1.0
openai/gpt-4o-mini,gsm0051,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0051,a1_g1,1.0
openai/gpt-4.1-nano,gsm0051,a1_g1,1.0
openai/gpt-4.1-nano,gsm0052,a1_g1,1.0
openai/gpt-4o-mini,gsm0052,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0052,a1_g1,1.0
openai/gpt-4.1-nano,gsm0053,a1_g1,1.0
openai/gpt-4o-mini,gsm0053,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0050,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0053,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0053,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0053,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0052,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0054,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0054,a1_g1,1.0
openai/gpt-4.1-nano,gsm0054,a1_g1,1.0
openai/gpt-4o-mini,gsm0054,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0054,a1_g1,1.0
openai/gpt-4.1-nano,gsm0055,a1_g1,1.0
openai/gpt-4o-mini,gsm0055,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0055,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0055,a1_g1,1.0
openai/gpt-4o-mini,gsm0056,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0055,a1_g1,1.0
openai/gpt-4.1-nano,gsm0056,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0056,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0056,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0055,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0054,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0056,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0056,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0057,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0052,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0053,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0057,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0057,a1_g1,1.0
openai/gpt-4o-mini,gsm0057,a1_g1,1.0
openai/gpt-4.1-nano,gsm0057,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0057,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0058,a1_g1,1.0
openai/gpt-4o-mini,gsm0058,a1_g1,1.0
openai/gpt-4.1-nano,gsm0058,a1_g1,0.0
mistralai/ministral-8b-2512,gsm0058,a1_g1,1.0
openai/gpt-4.1-nano,gsm0059,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0059,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0059,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0059,a1_g1,1.0
openai/gpt-4o-mini,gsm0059,a1_g1,1.0
openai/gpt-4o-mini,gsm0060,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0059,a1_g1,1.0
openai/gpt-4.1-nano,gsm0060,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0060,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0058,a1_g1,1.0
openai/gpt-4.1-nano,gsm0061,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0058,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0060,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0061,a1_g1,1.0
openai/gpt-4o-mini,gsm0061,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0061,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0060,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0061,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0061,a1_g1,1.0
openai/gpt-4o-mini,gsm0062,a1_g1,0.0
meta-llama/llama-3.1-8b-instruct,gsm0062,a1_g1,0.0
meta-llama/llama-3.3-70b-instruct,gsm0060,a1_g1,1.0
openai/gpt-4.1-nano,gsm0062,a1_g1,0.0
openai/gpt-4.1-nano,gsm0063,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0062,a1_g1,0.0
qwen/qwen-2.5-7b-instruct,gsm0063,a1_g1,1.0
openai/gpt-4o-mini,gsm0063,a1_g1,1.0
openai/gpt-4o-mini,gsm0064,a1_g1,1.0
openai/gpt-4.1-nano,gsm0064,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0063,a1_g1,0.0
meta-llama/llama-3.3-70b-instruct,gsm0062,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0064,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0063,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0063,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0064,a1_g1,1.0
openai/gpt-4.1-nano,gsm0065,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0065,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0065,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0065,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0065,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0066,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0064,a1_g1,1.0
openai/gpt-4o-mini,gsm0065,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0064,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0066,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0066,a1_g1,1.0
openai/gpt-4o-mini,gsm0066,a1_g1,1.0
openai/gpt-4.1-nano,gsm0066,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0067,a1_g1,1.0
openai/gpt-4.1-nano,gsm0067,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0066,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0067,a1_g1,1.0
openai/gpt-4o-mini,gsm0067,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0062,a1_g1,0.0
mistralai/ministral-8b-2512,gsm0067,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0067,a1_g1,1.0
openai/gpt-4.1-nano,gsm0068,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0068,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0068,a1_g1,1.0
openai/gpt-4o-mini,gsm0068,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0068,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0068,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0069,a1_g1,1.0
openai/gpt-4.1-nano,gsm0069,a1_g1,1.0
openai/gpt-4o-mini,gsm0069,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0070,a1_g1,1.0
qwen/qwen-2.5-7b-instruct,gsm0070,a1_g1,1.0
meta-llama/llama-3.1-8b-instruct,gsm0069,a1_g1,1.0
openai/gpt-4.1-nano,gsm0070,a1_g1,1.0
mistralai/ministral-8b-2512,gsm0069,a1_g1,1.0
meta-llama/llama-3.3-70b-instruct,gsm0071,a1_g1,1.0
openai/gpt-4.1-nano,gsm0071,a1_g1,1.0
openai/gpt-4o-mini,gsm0071,a1_g1,1.0
openai/gpt-4o-mini,gsm0070,a1_g1,1.0
